id,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
MKYhiSeXjahxh9O4Gqnimw,Grace Street,indian,4,2513,17 W 32nd St,10001,40.7478576793883,-73.9865590631962,False,15/10/2020 23:37:46
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,indian,4.5,1342,424 E 9th St,10009,40.7275,-73.9838,False,15/10/2020 23:37:46
tiSw-6DIm3-mMORyEIOVyg,The Boil,indian,4.5,1922,139 Chrystie St,10002,40.71974,-73.99339,False,15/10/2020 23:37:46
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,indian,4,3779,200 W 44th St,10036,40.7574955824307,-73.9866844540098,False,15/10/2020 23:37:46
vyoA8dxwScuMV_AsTcjQcg,L & B Spumoni Gardens,indian,4,3841,2725 86th St,11223,40.594715,-73.981316,False,15/10/2020 23:37:46
36krOhexcsA8Uetoq52A7g,Top of the Rock,indian,4.5,1630,30 Rockefeller Ctr,10112,40.7593342608422,-73.9794015884399,False,15/10/2020 23:37:46
qVSOes5JoWc5_umv4nd4Hg,Sugar Sweet Sunshine Bakery,indian,4,2064,126 Rivington St,10002,40.719851,-73.987011,False,15/10/2020 23:37:46
xJSH3EM1iZtOh4WZti4qjg,Wafels & Dinges,indian,4.5,1529,N/A,10011,40.7392845153809,-73.9989318847656,False,15/10/2020 23:37:46
7-jMpWGUxPB8EEtmoqNdqg,Soft Swerve,indian,4.5,1620,85B Allen St,10002,40.718201,-73.991247,False,15/10/2020 23:37:46
j051L3Ehkt8bPrO3YnEc1Q,Ample Hills Creamery,indian,4.5,1401,623 Vanderbilt Ave,11238,40.6786123071501,-73.9681703184027,False,15/10/2020 23:37:46
pQuZDnefX038xurT1BhDXA,Keens Steakhouse,indian,4,2567,72 W 36th St,10018,40.75071,-73.98652,False,15/10/2020 23:37:46
mESab-FqL5QqSVsnX72asQ,Zen Ramen & Sushi,indian,4.5,1726,150 W 36th street,10018,40.75185,-73.98892,False,15/10/2020 23:37:46
vfYhEpp0x-DrNjC6GSJjPQ,Artichoke Basille's Pizza,indian,4,3970,321 E 14th St,10003,40.7321124557704,-73.9839056828882,False,15/10/2020 23:37:46
16ZnHpuaaBt92XWeJHCC5A,Olio e Piú,indian,4.5,2290,3 Greenwich Ave,10014,40.733826,-73.999852,False,15/10/2020 23:37:46
MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,indian,4,2544,766 9th Ave,10019,40.764291,-73.988159,False,15/10/2020 23:37:46
7Qvh0oFRsoqrO9qNlcMKXQ,Saigon Shack,indian,4,2401,114 Macdougal St,10012,40.72969,-74.000629,False,15/10/2020 23:37:46
KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,indian,4,3091,80 Spring St,10012,40.7226892950401,-73.9982149184027,False,15/10/2020 23:37:46
